CAGE,SEX,0_HR,1_HR,2_HR,3_HR,4_HR,24_HR
1,M,NC,NC,NC,NC,G,G
1,F,NC,G,G,G,G,G
2,M,NC,G,G,G,G,G
2,F,G,G,G,G,G,G
3,M,NC,NC,NC,NC,G,G
3,F,G,G,G,G,G,G
4,M,NC,G,G,G,G,G
4,F,NC,G,G,G,G,G
5,M,NC,G,G,G,G,G
5,F,G,G,G,G,G,G
6,M,NC,NC,NC,NC,G,M
6,F,NC,NC,NC,NC,G,DEAD
7,M,G,G,G,G,G,G
7,F,NC,NC,DEAD,DEAD,DEAD,DEAD
8,M,NC,NC,NC,G,G,G
8,F,NC,NC,NC,DEAD,DEAD,DEAD
9,M,NC,NC,NC,NC,NC,G
9,F,G,G,G,G,G,G
10,M,NC,NC,NC,DEAD,DEAD,DEAD
10,F,NC,NC,NC,G,G,G
11,M,NC,NC,NC,NC,NC,DEAD
11,F,NC,NC,NC,NC,NC,M
12,M,NC,NC,G,G,G,G
12,F,M,M,G,G,G,G
